id,split
1,train
2,test
3,train
4,train
5,train
6,train
7,train
8,train
9,train
10,validation
11,train
12,test
13,train
14,train
15,test
16,validation
17,train
18,test
19,validation
20,train
21,test
22,test
23,train
24,validation
25,validation
26,train
27,test
28,train
29,train
30,train
31,train
32,validation
33,train
34,test
35,test
36,train
37,train
38,train
39,train
40,validation
41,train
42,train
43,train
44,train
45,train
46,test
47,train
48,validation
49,train
50,train
51,train
52,train
53,validation
54,validation
55,test
56,train
57,train
58,train
59,train
60,train
61,train
62,train
63,train
64,test
65,train
66,test
67,test
68,train
69,train
70,train
71,train
72,train
73,train
74,test
75,train
76,test
77,validation
78,validation
79,validation
80,train
81,train
82,train
83,test
84,test
85,validation
86,train
87,validation
88,validation
89,train
90,validation
91,test
92,train
93,test
94,train
95,train
96,train
97,train
98,train
99,validation
100,train
101,train
102,train
103,train
104,train
105,test
106,train
107,train
108,train
109,train
110,test
111,train
112,train
113,train
114,test
115,validation
116,train
117,train
118,validation
119,test
120,train
121,train
122,train
123,validation
124,validation
125,validation
126,validation
127,train
128,train
129,validation
130,train
131,train
132,test
133,train
134,train
135,train
136,train
137,validation
138,train
139,train
140,train
141,validation
142,test
143,validation
144,train
145,train
146,train
147,train
148,train
149,train
150,test
151,train
152,train
153,train
154,train
155,test
156,train
157,train
158,train
159,test
160,train
161,validation
162,train
163,validation
164,test
165,test
166,train
167,train
168,validation
169,train
170,train
171,train
172,train
173,train
174,train
175,validation
176,validation
177,test
178,train
179,test
180,validation
181,train
182,test
183,train
184,validation
185,validation
186,train
187,train
188,train
189,test
190,train
191,train
192,train
193,test
194,validation
195,validation
196,train
197,validation
198,test
199,test
200,train
201,train
202,test
203,train
204,train
205,train
206,test
207,train
208,train
209,train
210,test
211,test
212,train
213,test
214,train
215,test
216,test
217,train
218,train
219,train
220,train
221,test
222,train
223,validation
224,train
225,train
226,train
227,test
228,train
229,train
230,train
231,train
232,train
233,train
234,validation
235,validation
236,train
237,train
238,train
239,test
240,test
241,train
242,train
243,train
244,test
245,test
246,validation
247,test
248,test
249,test
250,test
251,test
252,train
253,validation
254,test
255,train
256,test
257,train
258,train
259,validation
260,train
261,test
262,test
263,test
264,test
265,train
266,test
267,test
268,train
269,train
270,train
271,validation
272,train
273,train
274,train
275,train
276,train
277,train
278,test
279,train
280,test
281,train
282,train
283,train
284,validation
285,train
286,validation
287,train
288,train
289,train
290,validation
291,train
292,train
293,validation
294,validation
295,test
296,train
297,train
298,validation
299,train
300,train
301,validation
302,train
303,train
304,train
305,test
306,test
307,test
308,train
309,train
310,test
311,train
312,train
313,validation
314,test
315,train
316,test
317,train
318,validation
319,train
320,train
321,train
322,train
323,train
324,train
325,validation
326,validation
327,test
328,train
329,train
330,train
331,train
332,train
333,validation
334,train
335,train
336,train
337,validation
338,test
339,test
340,train
341,validation
342,train
343,train
344,train
345,train
346,train
347,validation
348,train
349,validation
350,train
351,train
352,test
353,train
354,train
355,test
