run_id,suite_id,scenario,seed,scale,event_month,contact_events,contracts_contacted,promises_to_pay,contracts_eligible,contact_rate,promise_rate
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-03-01,5,5,2,10,0.5,0.4
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-04-01,19,19,10,31,0.6129032258064516,0.5263157894736842
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-05-01,40,40,15,56,0.7142857142857143,0.375
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-06-01,68,68,22,94,0.723404255319149,0.3235294117647059
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-07-01,105,105,41,137,0.7664233576642335,0.3904761904761905
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-08-01,143,143,46,183,0.7814207650273224,0.32167832167832167
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-09-01,181,181,69,234,0.7735042735042735,0.3812154696132597
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-10-01,235,235,78,287,0.818815331010453,0.33191489361702126
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-11-01,257,257,99,339,0.7581120943952803,0.3852140077821012
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-12-01,329,329,109,418,0.7870813397129187,0.331306990881459
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-02-01,1,1,0,7,0.14285714285714285,0.0
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-03-01,8,8,4,10,0.8,0.5
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-04-01,25,25,14,32,0.78125,0.56
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-05-01,50,50,22,56,0.8928571428571429,0.44
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-06-01,75,75,36,92,0.8152173913043478,0.48
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-07-01,105,105,57,117,0.8974358974358975,0.5428571428571428
