run_id,region,channel,contracts,outstanding_balance,low_sample,sample_classification
RUN_baseline_sample_2026_29e3fb70,region_1,app,117,446263.83,False,adequate
RUN_baseline_sample_2026_29e3fb70,region_1,branch,36,160182.33,False,limited
RUN_baseline_sample_2026_29e3fb70,region_1,partner,49,183063.07,False,limited
RUN_baseline_sample_2026_29e3fb70,region_1,web,106,492038.11,False,adequate
RUN_baseline_sample_2026_29e3fb70,region_2,app,134,537026.92,False,adequate
RUN_baseline_sample_2026_29e3fb70,region_2,branch,56,222919.06,False,limited
RUN_baseline_sample_2026_29e3fb70,region_2,partner,54,239369.62,False,limited
RUN_baseline_sample_2026_29e3fb70,region_2,web,103,415010.00,False,adequate
RUN_baseline_sample_2026_29e3fb70,region_3,app,127,523147.33,False,adequate
RUN_baseline_sample_2026_29e3fb70,region_3,branch,52,240972.88,False,limited
RUN_baseline_sample_2026_29e3fb70,region_3,partner,47,176333.62,False,limited
RUN_baseline_sample_2026_29e3fb70,region_3,web,114,462977.93,False,adequate
RUN_baseline_sample_2026_29e3fb70,region_4,app,131,540278.96,False,adequate
RUN_baseline_sample_2026_29e3fb70,region_4,branch,71,284371.59,False,limited
RUN_baseline_sample_2026_29e3fb70,region_4,partner,47,218505.60,False,limited
RUN_baseline_sample_2026_29e3fb70,region_4,web,99,414189.32,False,limited
RUN_collections_change_sample_2026_7932bc75,region_1,app,123,463246.01,False,adequate
RUN_collections_change_sample_2026_7932bc75,region_1,branch,35,163840.05,False,limited
RUN_collections_change_sample_2026_7932bc75,region_1,partner,53,198569.65,False,limited
RUN_collections_change_sample_2026_7932bc75,region_1,web,103,463238.90,False,adequate
RUN_collections_change_sample_2026_7932bc75,region_2,app,148,574241.88,False,adequate
RUN_collections_change_sample_2026_7932bc75,region_2,branch,53,225336.15,False,limited
RUN_collections_change_sample_2026_7932bc75,region_2,partner,51,208357.41,False,limited
RUN_collections_change_sample_2026_7932bc75,region_2,web,92,387523.11,False,limited
RUN_collections_change_sample_2026_7932bc75,region_3,app,132,525250.20,False,adequate
RUN_collections_change_sample_2026_7932bc75,region_3,branch,57,259051.48,False,limited
RUN_collections_change_sample_2026_7932bc75,region_3,partner,46,183806.46,False,limited
RUN_collections_change_sample_2026_7932bc75,region_3,web,107,431421.41,False,adequate
RUN_collections_change_sample_2026_7932bc75,region_4,app,132,538974.39,False,adequate
RUN_collections_change_sample_2026_7932bc75,region_4,branch,73,308003.14,False,limited
RUN_collections_change_sample_2026_7932bc75,region_4,partner,50,198174.95,False,limited
RUN_collections_change_sample_2026_7932bc75,region_4,web,101,380059.80,False,adequate
RUN_macroeconomic_stress_sample_2026_c0afa13a,region_1,app,125,518688.33,False,adequate
RUN_macroeconomic_stress_sample_2026_c0afa13a,region_1,branch,34,153964.51,False,limited
RUN_macroeconomic_stress_sample_2026_c0afa13a,region_1,partner,48,210401.88,False,limited
RUN_macroeconomic_stress_sample_2026_c0afa13a,region_1,web,110,542602.96,False,adequate
RUN_macroeconomic_stress_sample_2026_c0afa13a,region_2,app,155,618576.77,False,adequate
RUN_macroeconomic_stress_sample_2026_c0afa13a,region_2,branch,56,217388.47,False,limited
RUN_macroeconomic_stress_sample_2026_c0afa13a,region_2,partner,57,260247.79,False,limited
RUN_macroeconomic_stress_sample_2026_c0afa13a,region_2,web,101,434864.10,False,adequate
RUN_macroeconomic_stress_sample_2026_c0afa13a,region_3,app,139,577612.04,False,adequate
RUN_macroeconomic_stress_sample_2026_c0afa13a,region_3,branch,58,285511.63,False,limited
RUN_macroeconomic_stress_sample_2026_c0afa13a,region_3,partner,45,186324.27,False,limited
RUN_macroeconomic_stress_sample_2026_c0afa13a,region_3,web,119,524072.33,False,adequate
RUN_macroeconomic_stress_sample_2026_c0afa13a,region_4,app,140,638839.37,False,adequate
RUN_macroeconomic_stress_sample_2026_c0afa13a,region_4,branch,74,349822.24,False,limited
RUN_macroeconomic_stress_sample_2026_c0afa13a,region_4,partner,55,256816.12,False,limited
