run_id,suite_id,scenario,seed,scale,snapshot_date,total_contracts,active_contracts,outstanding_balance,cumulative_paid_total,overdue_scheduled_amount,avg_ticket,partial_payment_count,prepayment_count,paid_amount_this_month,scheduled_amount_due_this_month,scheduled_principal_due_this_month,scheduled_interest_due_this_month,scheduled_fees_due_this_month,paid_to_scheduled_ratio
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-01-31,9,9,55160.15,0.00,0.00,5101.672222222222,0,0,0.00,0.00,0.00,0.00,0.00,
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-02-29,42,42,242308.73,3096.91,5931.24,4768.041904761904,4,0,3096.91,9028.15,7421.11,1607.04,0.00,0.3430281951451848
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-03-31,99,97,531381.15,44481.66,7676.20,4657.451818181818,4,2,41384.75,36505.93,29557.32,6948.61,0.00,1.1336445887010687
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-04-30,184,178,944530.83,107823.53,18806.85,4601.647391304348,8,4,70320.13,72332.87,57489.02,14843.85,0.00,0.9721739231417198
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-05-31,285,263,1306061.37,277403.70,45367.21,4458.098842105263,15,16,198490.57,133443.45,106441.74,27001.71,0.00,1.4874508265486241
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-06-30,377,360,1702952.20,327180.20,90038.84,4316.015623342175,22,12,195034.93,197093.24,158584.54,38508.70,0.00,0.9895566687117224
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-07-31,508,489,2198830.27,462526.08,135983.68,4215.911141732284,37,9,232411.04,268004.40,218247.20,49757.20,0.00,0.8671911356679218
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-08-31,670,627,2803063.88,689971.26,187739.52,4162.928537313433,36,16,323736.47,342582.93,279225.78,63357.15,0.00,0.9449871597513629
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-09-30,810,760,3322299.15,846138.97,239815.71,4130.022283950617,49,24,357890.04,402194.72,323327.69,78867.03,0.00,0.8898427110132127
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-10-31,969,905,3928375.25,1107638.70,293141.41,4115.891620227038,55,30,466937.36,453341.61,359000.37,94341.24,0.00,1.029990077460571
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-11-30,1141,1058,4689386.00,1323434.92,327633.06,4172.489719544259,75,38,518388.05,508036.64,396702.52,111334.12,0.00,1.020375321748447
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-12-31,1343,1266,5556650.17,1557778.59,391916.33,4178.412278481012,87,34,572600.83,613864.64,477824.55,136040.09,0.00,0.932780278727245
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-01-31,9,9,55160.15,0.00,0.00,5101.672222222222,0,0,0.00,0.00,0.00,0.00,0.00,
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-02-29,42,42,242308.73,3096.91,5931.24,4768.041904761904,4,0,3096.91,9028.15,7421.11,1607.04,0.00,0.3430281951451848
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-03-31,99,97,531381.15,44481.66,7676.20,4657.451818181818,4,2,41384.75,36505.93,29557.32,6948.61,0.00,1.1336445887010687
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-04-30,184,178,949161.30,103193.06,19624.77,4601.647391304348,10,4,65689.66,72332.87,57489.02,14843.85,0.00,0.9081577987988034
